gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YAL016W,S000000014,TPD3,1908,protein biosynthesis,protein phosphatase type 2A activity,cytoplasm,0,-0.42,0.32,0.06,0.17,-0.14,0.01,-0.24,0.15,-1.34,0.15,0.06,0.01,0.18,0.09,0.18,0.14,0.3,0.17,-0.53,-0.1,0.04,NA,0.01,-0.19,0.54,0.05,-0.25,0.44,-0.05,-0.05,0.83,-0.45,-0.43,0.05,-0.54,-0.39,0.03,-0.1,0.45,0.16,-0.39,0.42,0.13,0.23
YAL017W,S000000015,PSK1,4071,protein amino acid phosphorylation,protein serine/threonine kinase activity,cytoplasm,0,0.29,-0.32,-0.4,0.19,-0.2,-0.09,0.41,0.13,-0.05,-0.29,0.06,-0.16,0.17,-0.32,0.18,0.21,0.23,NA,NA,-1.15,-0.85,-0.56,0.52,-0.26,0.08,-0.11,-0.19,0.29,0.64,0.63,1.18,-0.13,-0.07,-0.13,-0.55,-0.66,-0.34,-0.09,0.15,0.08,-0.25,0.42,0.34,0.03
YAL018C,S000000016,NA,978,NA,NA,NA,0,-0.29,-0.01,0.46,0.16,-1.72,0.33,0.05,0.22,0.3,0,0.22,-0.15,-0.06,0.11,0.22,0.05,-0.15,0.16,1.24,0.43,0.38,0.09,-0.12,-0.7,-0.04,-0.15,-0.23,-0.45,0.21,0.06,-0.24,1.13,0.07,0.47,0.34,-0.15,-0.29,-0.24,-0.08,-0.52,-0.15,-0.22,-0.49,0.36
YAL019W,S000000017,FUN30,3396,chromosome organization and biogenesis (sensu Eukarya),NA,nucleus,0,0.26,-0.12,-0.24,-0.23,0.12,-0.02,0.23,-0.11,0.11,0,0.16,0.19,0.35,0.02,-0.14,0.07,0.23,0.09,0.18,0.06,0.44,-0.23,0.36,-0.29,0.41,0.28,-0.1,0.16,-0.03,-0.12,-0.93,-0.13,-0.11,0.23,0.77,0.42,0.22,0.15,0.06,0.34,-0.11,-0.26,-0.36,-0.28
YAL020C,S000000018,ATS1,1002,bud growth,NA,cytoplasm,0,0.44,0.15,-0.02,-0.07,-0.22,-0.06,-0.07,0.2,0.2,0.11,0.03,-0.33,0.27,-0.15,-0.83,1.09,0.11,0.01,0.94,-0.18,0.46,0.1,0.16,-0.75,0.03,-0.01,-0.32,0.29,-0.18,-0.27,-0.11,0.02,-0.36,-0.11,0.48,-0.2,0.27,0.29,-0.34,-0.05,0.23,0.08,-0.45,0.25
YAL022C,S000000020,FUN26,1554,nucleoside transport,nucleoside transporter activity,membrane,0,-0.22,0.89,-0.36,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.22,-0.1,0.22,0.61,-0.63,-0.66,-0.24,-0.82,-0.84,-0.89,0.57,0.64,0.54,0.66,0.28,-0.26,-1.16,-0.71,-0.71,-0.24,-0.75,-0.11,-0.42,-0.01,0.53,0.58,1.49,0.72,0.51,0.29
YAL023C,S000000021,PMT2,2280,O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,endoplasmic reticulum,0,0.98,-0.29,-0.57,-0.21,0.1,0.63,0.41,0.35,0.02,-0.21,-0.3,-0.1,0.14,0.11,0.4,0.18,0.14,-0.26,-0.54,-0.1,0.59,0.14,0.14,-0.33,0.24,-0.1,-0.42,0.34,0.09,0.09,-1.15,-0.83,-0.76,-0.32,0.17,0.17,0.49,0.64,0.53,0.58,-0.03,0.49,0.04,-0.03
YAL024C,S000000022,LTE1,4308,regulation of exit from mitosis,guanyl-nucleotide exchange factor activity,bud,0,1.03,0.23,-0.19,-0.03,0.56,0.19,-0.22,0.29,-0.08,0.09,0.03,-0.17,-0.19,-0.09,0.32,0.01,-0.17,-0.21,-0.59,-0.01,0.41,0.2,0.5,0.59,0.54,0.14,-0.12,-0.08,-0.19,0.22,0.34,-0.32,-0.13,-0.13,0.1,0.4,0.26,-0.01,0.16,0.1,-0.13,-0.01,-0.53,-0.11
YAL025C,S000000023,MAK16,921,ribosomal large subunit biogenesis,NA,nucleolus,1,-0.74,0.1,0.17,-0.6,-0.42,0.21,0.15,0.2,0.69,0.32,0.05,0.15,-0.12,0.09,-0.23,0.13,0.45,0.23,-0.84,0.36,0.5,-0.26,0.27,-0.06,0.77,0.3,-0.26,0.13,-0.31,-0.13,-1.01,-0.39,0.03,0.58,1.12,0.58,0.18,0.18,-0.11,0.25,-0.13,-0.62,-0.34,-0.32
YAL026C,S000000024,DRS2,4068,processing of 20S pre-rRNA,ATPase activity,plasma membrane,0,-0.18,0.18,0.06,-0.16,-0.41,0.06,-0.56,0.04,0.13,-0.06,0.39,-0.28,0.37,0.04,-0.21,0.61,-0.24,0.19,-0.31,-0.5,-0.08,NA,0.12,-0.3,0.55,0.01,-0.02,0.43,-0.03,0.31,-0.64,-0.51,NA,0.18,-0.09,-0.17,0.15,-0.05,0.4,0.8,-0.11,0.25,-0.59,0.39
YAL028W,S000000026,FRT2,1587,response to stress,NA,endoplasmic reticulum,0,-0.45,-0.62,-0.29,0.09,0.28,0.33,0.58,0.07,0.14,-0.25,-0.77,0.12,0.22,-0.26,0.07,0.66,-0.26,-0.17,NA,-1.87,-0.65,0.35,0.63,-0.17,0.57,-0.1,0.22,-0.25,0.47,0.35,0.76,-0.38,-0.15,-0.1,0.07,-0.31,-0.04,0.06,0.22,-0.03,-0.15,0.1,0.07,-0.12
YAL029C,S000000027,MYO4,4416,mRNA localization intracellular,microfilament motor activity,actin cap (sensu Fungi),0,0.11,-0.03,0.04,-0.21,-0.23,-0.12,-0.31,-0.06,0.07,0.11,0.46,-0.62,0.29,-0.09,-0.28,0.63,0.19,0.38,-0.15,-0.03,-0.5,-0.49,0.21,-0.43,0.33,0.2,-0.14,0.26,0.2,-0.12,-0.74,-0.25,NA,0.14,0.03,-0.05,0.49,-0.14,0.05,0.48,0.13,0.2,-0.52,0.19
YAL030W,S000000028,SNC1,467,endocytosis,v-SNARE activity,transport vesicle,0,-0.74,-0.32,-0.13,0.03,-0.05,0.12,0.11,-0.12,0.21,-0.02,-0.19,-0.03,0.32,-0.21,0.11,0.32,-0.01,0.1,0.34,-0.42,-0.34,-0.53,0.01,-0.76,0.29,-0.24,-0.32,0.85,0.17,NA,0.73,-0.11,0.09,0.25,0.24,-0.24,-0.05,-0.05,-0.08,-0.35,0.03,-0.11,-0.29,-0.05
YAL031C,S000000029,FUN21,2283,NA,NA,cytoplasm,0,-0.14,0.1,-0.12,-0.5,-0.39,-0.15,-0.41,0.03,0.13,-0.08,0.18,-0.15,0.14,-0.1,-0.52,0.65,0.16,0.34,0.29,-0.62,-0.23,-0.19,0.07,-0.46,0.14,-0.1,-0.1,0.36,-0.04,0.14,0.45,-0.03,NA,-0.18,-0.47,-0.37,0.33,-0.17,-0.06,0.17,-0.13,0.19,-0.15,0.42
YAL034C,S000002134,FUN19,1242,NA,NA,NA,0,-0.43,0.01,-0.54,0.05,-0.31,-0.27,-0.27,0.19,-0.38,0,0.3,-0.09,-0.02,0.58,0.03,0.14,-0.27,0.33,0.27,-0.37,-0.18,-0.01,0.44,0.15,0.47,0.39,0.08,-0.14,-0.14,0.21,1.14,0.11,-0.68,0,-0.29,-0.36,-0.19,0.07,0.07,0.01,-0.25,0.1,0.07,0.19
YAL035W,S000000033,FUN12,3009,translational initiation,GTPase activity,cytosolic small ribosomal subunit (sensu Eukarya),0,0.06,0.14,-0.35,-0.6,-0.32,-0.22,0.17,-0.15,0.2,0.13,-0.13,0.56,0.52,-0.23,0.5,0.69,-0.22,0.34,-0.88,0.1,0.53,-0.24,0,-0.18,0.43,0.07,-0.17,0.58,-0.12,-0.02,-0.51,-0.08,-0.15,0.36,0.43,0.36,0.25,0.12,-0.05,0.04,-0.05,-0.14,-0.27,-0.3
YAL036C,S000000034,RBG1,1110,NA,GTP binding,cytoplasm,0,-1.06,0.21,0.04,-0.4,-0.6,-0.1,-0.35,0.46,-0.08,0.39,0.13,0.11,0.09,0.28,0.16,-0.02,0.25,0.22,0.01,0.04,0.66,NA,0.18,-0.47,0.27,0.01,-0.3,0.39,-0.35,-0.14,-1.22,-0.44,-0.49,0.53,0.83,0.25,0.48,-0.05,0.24,0.46,-0.24,-0.18,-0.37,0.2
YAL037W,S000000035,NA,804,NA,NA,NA,0,0.11,-0.29,0.07,0.18,0.08,0.27,0.16,0.05,0.08,-0.08,-0.03,-0.15,-0.06,-0.15,-0.24,0.02,0.05,0.05,1.11,-0.13,0.56,0.02,0.08,-0.47,0.16,-0.18,-0.31,-0.92,0.08,0.25,-0.14,-0.11,0.18,-0.16,0.29,0.08,-0.11,0,0.2,0.14,0.1,-0.07,-0.32,-0.09
YAL038W,S000000036,CDC19,1503,glycolysis,pyruvate kinase activity,cytosol,1,-0.34,0.49,-0.07,-0.21,-0.18,-0.1,-0.4,0.13,-0.1,0.14,0.26,-0.1,0.06,-0.07,0.21,0.33,0.05,0.47,0.23,-0.42,0.35,-0.06,0.65,-0.68,0.28,0.05,-0.45,NA,-2.69,-0.17,-0.64,-0.35,0.06,0.74,0.38,0.01,0.43,-0.07,0.21,0.04,-0.86,-0.35,0.19,0.2
YAL039C,S000000037,CYC3,810,cytochrome c-heme linkage,holocytochrome-c synthase activity,mitochondrial intermembrane space,0,-1.18,0.11,0.36,0.19,-0.45,0.06,0.23,-0.13,-0.08,0.17,0.13,0.09,-0.16,-0.18,0.21,0.04,0.09,-0.15,0.83,0.1,-0.31,-0.49,0.06,-0.67,-0.01,0,-0.1,0.68,0.33,-0.29,-0.2,-0.1,-0.55,0.32,0.13,-0.34,-0.55,0.1,0.25,0.18,-0.05,0.27,0.49,0.04
YAL040C,S000000038,CLN3,1743,G1/S transition of mitotic cell cycle,cyclin-dependent protein kinase regulator activity,nucleus,0,3.43,0.72,1.04,0.47,-1.03,-0.63,-0.68,0.1,-0.02,0.53,0.68,0.51,-0.2,-0.34,-0.31,-0.25,0.11,0.44,-0.05,-0.15,-0.58,-0.58,0.18,-0.67,0.29,0.2,0.02,1.32,0.27,-0.41,-0.73,-0.05,-0.31,0.43,0.1,0.12,-0.4,-0.42,0.07,0.19,-0.21,0.48,0.47,0.25
YAL042W,S000000040,ERV46,1248,ER to Golgi transport,NA,integral to endoplasmic reticulum membrane,0,-0.42,0.31,-0.26,-0.06,-0.14,0.21,-0.08,0.32,-0.01,0.08,0,-0.12,0.08,0.06,0.11,0.11,0.17,0.11,0,-0.17,0.21,-0.2,0.26,-0.73,-0.04,0.21,-0.2,0.75,-0.14,-0.04,-0.6,-0.27,-0.48,-0.07,-0.19,0.06,-0.08,0.23,0.49,0.33,0.06,0.16,0.24,0.11
YAL044C,S000000042,GCV3,513,one-carbon compound metabolism,glycine dehydrogenase (decarboxylating) activity,mitochondrion,0,-0.89,0.21,-0.53,-0.03,-0.03,-0.03,-0.1,0.12,0.25,0.14,0.01,-0.03,-0.03,0.01,0.17,-0.15,0.55,0.11,-0.13,-0.28,-0.08,-0.64,-0.82,-1.01,-0.24,-0.32,-0.28,1.03,0.31,-0.15,-0.31,-0.14,0.44,0.1,-0.16,-0.43,-0.75,-0.26,0.13,0.31,0.05,0.48,0.13,0.41
YAL045C,NA,NA,NA,NA,NA,NA,0,-0.56,-0.18,-0.01,0.36,-0.01,0.16,0.38,0.19,0.18,0.1,0.02,-0.18,-0.18,0.04,0.07,0,-0.96,0.13,-0.1,0.12,0.32,-0.33,-0.11,-0.31,-0.14,0.08,0.06,0.6,0.14,-0.09,0.4,-0.17,0,-0.26,0.11,-0.55,-0.11,0.3,0.19,0,0.11,0.04,0.02,-0.06
YAL048C,S000000046,GEM1,1989,vesicle-mediated transport,NA,integral to membrane,0,0.21,-0.2,-0.13,-0.48,0.04,-0.27,0.02,0.08,0.05,-0.06,0.25,-0.69,0.09,-0.1,-0.16,0.44,0.21,0.02,0.1,-0.72,-0.1,0.28,0.28,0,0.55,0.19,0.28,0.19,0,0.87,0.56,0.06,NA,-0.04,-0.44,-0.22,0.42,0,-0.06,0.17,-0.02,-0.33,-0.13,0.01
YAL049C,S000000047,NA,741,NA,NA,cytoplasm,0,-0.22,0.36,-0.05,0.23,0.2,0.2,0.17,-0.13,0.03,-0.23,-0.2,-0.06,0.47,-0.17,0.05,-0.01,-0.12,-0.12,0.65,-0.2,0.03,-0.66,0.07,-0.69,-0.32,-0.31,-0.21,0.44,0.29,0.03,0.67,0.09,0.05,0.08,0.06,-0.45,-0.34,-0.04,0.01,-0.2,-0.34,0.2,-0.14,0.34
YAL051W,S000000048,OAF1,3144,peroxisome organization and biogenesis,DNA binding,nucleus,0,-0.01,-0.32,-0.2,0,-0.41,0.16,-0.23,0.05,0,0.04,0.16,-0.15,0.08,-0.08,0.03,0.37,0.32,-0.04,0.64,-0.17,-0.07,-0.11,0.11,-0.38,0,0.23,0.2,0.09,-0.07,0.07,2.63,-0.15,NA,0.06,-0.1,-0.27,0.22,-0.25,-0.04,-0.38,-0.52,0.15,-1.24,-0.1
YAL053W,S000000049,NA,2352,NA,NA,cytoplasm,0,0.34,-0.92,0.21,0.2,0.15,0.38,0.37,0.01,-0.4,-0.43,-0.62,0.18,0.24,-0.07,0.28,0.43,-0.21,-0.33,-0.07,-0.58,-0.05,0.16,0.64,-0.18,0.41,0.02,-0.31,0.31,0.18,-0.05,0.23,-0.32,-0.42,-0.28,0.07,-0.24,-0.04,0.18,0.16,0.04,-0.2,0.32,0.42,0.1
YAL054C,S000000050,ACS1,2142,acetyl-CoA biosynthesis,acetate-CoA ligase activity,cytosol,0,1.02,NA,0,0.25,0.27,0.2,0.07,0.27,0.23,0.02,-0.36,-0.2,-0.32,0.17,0.08,-0.18,-0.26,0.14,1.33,-0.29,0.2,0.08,-0.06,-0.42,-0.2,-0.39,-0.36,0.56,-0.04,0,-1.5,0.41,-0.5,-0.22,-1.35,-1.39,-0.39,0.68,1.11,0.77,-0.33,0.85,1.17,0.68
YAL055W,S000000051,PEX22,543,protein-peroxisome targeting,NA,peroxisome,0,-0.17,-0.27,-0.31,NA,-0.33,0.41,-0.88,-0.02,0.18,0.22,-0.04,0.38,0.36,-0.21,-0.1,0.53,0,-0.05,0.76,-0.63,-0.45,-0.11,0.42,-0.4,-0.22,0.13,-0.11,0.74,0.01,0,0.4,0.18,0.61,-0.18,-0.22,-0.77,-0.18,0.08,-0.03,-0.09,-0.13,0.29,0,0.04
YAL056W,S000000052,GPB2,2643,signal transduction,signal transducer activity,cytoplasm,0,0.07,0.39,-0.03,0.06,-0.21,-0.6,0.01,0.13,0.24,-0.15,0.28,-0.19,0,-0.07,-0.23,0.42,0.06,0.22,-0.36,-0.51,-0.22,-0.15,0.01,-0.56,0.4,0.6,0.35,0.13,0.26,0.57,0.61,0.3,-1.14,-0.36,0.19,-0.08,-0.14,0.1,-0.07,0.07,0.14,0.17,-0.04,0.25
YAL058W,S000000054,CNE1,1509,ER-associated protein catabolism,NA,integral to endoplasmic reticulum membrane,0,-0.56,-0.4,-0.22,0.24,-0.11,-0.04,-0.07,-0.11,-0.41,0.27,-0.11,0.69,0.33,-0.1,0.24,0.32,-0.35,-0.04,0.44,0.32,-0.03,-0.37,-0.03,-0.56,-0.03,0.18,0.06,-0.04,-0.01,0.09,-0.6,0.09,-0.09,0.32,0.28,-0.09,-0.01,0.14,0.07,0.04,-0.12,0.16,-0.2,0.01
YAL059W,S000000055,ECM1,639,cell wall organization and biogenesis,NA,nucleus,0,-0.81,0.03,0.12,-0.9,-0.32,0.03,0.19,0.31,0.23,0.1,0.36,-0.34,0.24,-0.07,-0.23,0.36,0.16,0.44,-0.81,0.39,0.71,-0.18,0.21,-0.15,0.51,0.22,-0.19,0.36,-0.34,-0.43,-0.88,-0.08,NA,-0.08,1.2,0.58,0.02,0.12,-0.08,-0.06,0.16,-0.48,-0.41,-0.01
YAL060W,S000000056,BDH1,1149,butanediol fermentation,(RR)-butanediol dehydrogenase activity,cytoplasm,0,0.03,0.01,-0.69,0.25,0.06,0.1,-0.51,0.09,-0.49,-0.08,0.09,-0.09,0.35,0.75,-0.18,0.3,0.07,0.2,0.66,-1.01,-0.69,-0.67,-0.48,-0.54,0.1,-0.2,0.06,0.77,0.25,0.47,0.85,0.09,0.63,-0.09,-0.82,-0.73,-0.37,-0.15,0.13,-0.11,-0.58,0.54,0.44,0.18
YAL061W,S000000057,NA,1254,NA,oxidoreductase activity acting on the CH-OH group of donors NAD or NADP as acceptor,cytoplasm,0,-0.34,0.24,-0.39,0.28,-0.06,-0.29,-0.53,-0.27,-0.31,-0.25,0.34,0.05,0.07,-0.27,0.02,0.37,0.26,0.19,-0.18,-0.43,-0.1,-0.38,-0.36,-0.12,-0.16,-0.12,0.09,0.91,0.35,0.19,1.57,0.13,NA,0.67,-0.61,-0.71,-0.85,-0.29,-0.09,-0.68,-1.39,0.5,0.68,1.07
YAL062W,S000000058,GDH3,1374,glutamate biosynthesis,glutamate dehydrogenase activity,nucleus,0,-0.89,-0.04,0,0,0.05,-0.13,-0.32,0.04,-0.08,-0.29,0.15,-0.15,0.27,0.1,0,0.6,0.15,-0.04,1.61,1.46,1.3,0.46,0.72,-0.03,-0.05,-0.43,-0.34,-0.43,-0.48,-0.43,1.03,0.25,NA,0.5,-0.06,-0.26,0.02,-0.26,-0.11,-0.08,-0.76,-0.12,-0.09,-0.08
YAL063C,S000000059,FLO9,3969,flocculation (sensu Saccharomyces),mannose binding,cell wall (sensu Fungi),0,-0.03,0.45,0.11,0.09,-0.1,0.06,-0.37,0.03,0,0.05,-0.1,-0.23,0.21,0.08,0.18,0,0.03,0.15,0.76,0.09,0.09,-0.17,0.13,-0.17,0.32,-0.43,0.04,-1.19,-0.11,0.43,-0.3,-0.37,-0.18,-0.09,-0.16,-0.16,-0.1,-0.09,0.46,0.32,0.02,0.31,0.4,-0.07
YAL064W,S000000060,NA,327,NA,NA,NA,0,0.08,-0.3,-0.28,0.4,-0.26,0.21,0.03,-0.08,-0.02,-0.06,-0.23,-0.08,0.02,-0.23,-0.11,0.07,1.05,0.11,0.9,-0.32,0.19,-0.17,0.32,-0.24,-0.07,-0.52,0.11,0.56,-0.1,-0.1,0.41,-0.37,0.17,-0.3,0.18,-0.2,-0.07,-0.03,0.17,-0.18,0.15,-0.13,0.17,0.03
YAL065C,S000001817,NA,387,NA,NA,NA,0,-0.27,0.32,0,0.28,0.29,0.08,-1.18,0.07,0.04,0.04,-0.18,-0.29,-0.11,0.05,0.24,0.02,0.38,0.08,NA,-0.74,-0.15,0.58,NA,-0.74,0.58,NA,0.28,-0.74,NA,0.85,0.07,-0.32,-0.15,-0.36,0.05,0.11,-0.01,0.09,0.17,0.07,0.19,-0.08,-0.18,0.36
YAL066W,NA,NA,NA,NA,NA,NA,0,0.08,-0.42,0.22,0.54,-0.41,0.4,-0.21,0.14,0.08,0.05,-0.04,NA,0.06,-0.07,-0.68,0.19,-0.35,0.16,1.92,1.37,0.47,0.9,0.41,0.12,0.53,-0.88,-0.15,NA,-0.25,-0.73,0.41,-0.49,-0.16,0.07,0.15,0.15,-0.06,0.17,0.17,-0.39,0.62,-0.39,-0.04,-0.21
YAL067C,S000000062,SEO1,1782,transport,transporter activity,membrane,0,-0.15,0.07,0.01,0.17,NA,-0.1,0.08,0.64,0.39,0.33,-0.18,-0.54,-0.2,-0.04,0.29,-0.46,0.06,0.03,0.53,-0.08,-0.25,1.95,2.39,1.68,0.38,-0.19,-0.51,-0.02,-1.02,0.08,-0.2,0.05,0.03,0.29,0.32,0.09,0.14,-0.05,0.14,-0.16,0.12,-0.09,-0.29,-0.39
YAR002W,S000000063,NUP60,1620,nucleocytoplasmic transport,structural constituent of nuclear pore,nuclear pore,0,-0.64,0.19,0.2,-0.17,0.86,-0.1,-0.51,0.03,-0.1,0.42,-0.21,0.18,-0.1,0.04,0.24,-0.11,0.31,-0.06,-0.34,0.01,-0.3,-0.36,0.17,-0.23,-0.2,0.13,0.15,0.14,0,0.23,0.07,-0.28,-0.49,0.17,0.12,0,0.09,-0.19,0.17,0.38,-0.17,0.52,0,-0.39
YAR003W,S000000064,SWD1,1281,chromatin silencing at telomere,transcriptional activator activity,nuclear chromatin,0,0.41,-0.29,-0.3,0.75,0.37,0.27,-0.28,-0.16,-0.13,-0.56,-0.28,0.11,0.3,0.22,0.07,-0.02,0.11,-0.1,-0.14,0.21,0.84,0.19,-0.26,-0.1,-0.03,-0.09,0,-0.48,0.25,0.55,-0.44,-0.69,-0.2,-0.22,0.34,-0.02,0.26,0.49,0.26,0.22,0.07,0.01,-0.13,0.05
YAR007C,S000000065,RFA1,1866,DNA recombination,damaged DNA binding,chromosome telomeric region,1,0.77,-0.42,-0.48,0.87,0.92,0.67,-0.18,-0.35,-1.06,-0.81,-0.18,0.53,0.8,0.45,-0.09,-0.35,-0.11,-0.35,-0.65,0.01,1.52,0.48,-0.34,-0.71,-0.58,-0.94,-0.6,0.78,0.97,0.61,-0.83,-0.16,-0.69,-0.24,0.2,0.51,0.54,0.45,0.35,0.25,-0.38,0.24,-0.09,-0.14
